actorseq,actorname,actorengname,actorseq
915,아콰피나,Awkwafina,915
916,리처드 아이오와디,Richard Ayoade,916
917,재지 비츠,Zazie Beetz,917
918,릴리 싱,Lilly Singh,918
919,정우,,919
920,김갑수,,920
922,지승현,,922
924,김해곤,Kim Hai Gon,924
925,윤지혜,Yoon Jihye,925
926,정호빈,,926
